timestamps,TP9,AF7,AF8,TP10,Right AUX
1731646380.642,-53.223,-28.809,-21.484,-106.445,0.000
1731646380.646,-73.730,-45.410,-25.391,-128.418,0.000
1731646380.650,-62.988,-54.199,-25.879,-122.070,0.000
1731646380.654,-42.480,-32.227,-21.973,-95.215,0.000
1731646380.658,-31.738,-27.832,-22.461,-80.078,0.000
1731646380.661,-31.738,-25.391,-20.508,-63.477,0.000
1731646380.665,-47.363,-14.160,-19.043,-66.406,0.000
1731646380.669,-57.129,-19.043,-24.414,-95.215,0.000
1731646380.673,-51.758,-17.578,-28.809,-91.797,0.000
1731646380.677,-55.176,-8.301,-31.250,-86.426,0.000
1731646380.681,-46.387,-4.395,-14.648,-83.496,0.000
1731646380.685,-19.531,-6.836,-14.648,-64.941,0.000
1731646380.689,-21.484,-2.441,-27.344,-64.941,0.000
1731646380.693,-33.691,-16.602,-31.738,-94.727,0.000
1731646380.697,-23.926,-30.762,-22.949,-97.656,0.000
1731646380.700,-32.227,-19.043,-7.812,-83.984,0.000
1731646380.704,-58.105,-11.230,-14.160,-87.402,0.000
1731646380.708,-50.781,-26.367,-18.066,-64.941,0.000
1731646380.712,-32.227,-27.832,-19.043,-60.547,0.000
1731646380.716,-29.785,-21.973,-25.879,-65.918,0.000
1731646380.720,-32.715,-36.133,-27.344,-46.387,0.000
1731646380.724,-36.621,-31.250,-29.297,-66.406,0.000
1731646380.728,-44.922,-8.789,-30.762,-84.473,0.000
1731646380.732,-55.664,-8.789,-35.156,-75.195,0.000
1731646380.736,-53.223,-17.578,-36.621,-63.965,0.000
1731646380.740,-55.176,-21.484,-35.645,-83.008,0.000
1731646380.743,-68.359,-29.785,-42.480,-118.652,0.000
1731646380.747,-59.570,-37.109,-42.969,-120.605,0.000
1731646380.751,-54.199,-31.738,-35.156,-79.102,0.000
1731646380.755,-39.062,-28.809,-32.715,-37.109,0.000
1731646380.759,-26.855,-36.133,-41.504,-50.781,0.000
1731646380.763,-34.180,-22.949,-40.039,-68.359,0.000
1731646380.767,-35.645,-11.230,-24.414,-66.895,0.000
1731646380.771,-27.832,-28.320,-21.973,-43.945,0.000
1731646380.775,-9.766,-28.809,-22.949,-2.930,0.000
1731646380.779,-26.367,-9.277,-23.926,-0.977,0.000
1731646380.783,-59.082,-16.602,-30.762,-50.293,0.000
1731646380.786,-55.176,-29.785,-41.504,-58.594,0.000
1731646380.790,-42.480,-29.297,-46.387,-29.785,0.000
1731646380.794,-36.133,-26.855,-41.016,-31.738,0.000
1731646380.798,-48.340,-28.320,-41.504,-27.344,0.000
1731646380.802,-51.758,-31.738,-41.992,-23.438,0.000
1731646380.806,-35.156,-52.734,-41.016,-41.992,0.000
1731646380.810,-26.367,-52.246,-43.945,-20.996,0.000
1731646380.814,-31.250,-28.809,-43.457,-21.484,0.000
1731646380.818,-35.156,-24.902,-35.645,-38.086,0.000
1731646380.822,-28.809,-21.484,-24.902,-9.277,0.000
1731646380.825,-24.902,-5.859,-21.973,31.250,0.000
1731646380.829,-19.531,-7.324,-30.762,8.301,0.000
1731646380.833,-28.809,-17.090,-28.809,-22.949,0.000
1731646380.837,-45.898,-16.602,-31.250,-9.277,0.000
1731646380.841,-33.691,-23.438,-47.363,-6.836,0.000
1731646380.845,-20.020,-28.809,-47.363,-6.836,0.000
1731646380.849,-29.297,-35.156,-37.598,-5.371,0.000
1731646380.853,-30.273,-40.527,-31.738,0.000,0.000
1731646380.857,-22.949,-38.574,-26.855,-8.789,0.000
1731646380.861,-36.621,-31.738,-26.855,-7.812,0.000
1731646380.865,-50.781,-38.574,-30.762,-8.789,0.000
1731646380.868,-37.109,-43.457,-26.855,-6.836,0.000
1731646380.872,-14.648,-26.367,-29.297,47.852,0.000
1731646380.876,-22.949,-28.809,-32.715,33.203,0.000
1731646380.880,-52.734,-39.551,-22.949,-26.855,0.000
1731646380.884,-54.199,-37.598,-21.973,-26.367,0.000
1731646380.888,-56.152,-32.227,-31.738,-12.207,0.000
1731646380.892,-55.664,-37.109,-36.133,-5.859,0.000
1731646380.896,-21.973,-49.316,-35.645,12.695,0.000
1731646380.900,-24.902,-48.340,-35.156,20.020,0.000
1731646380.904,-51.758,-40.527,-25.391,4.395,0.000
1731646380.907,-34.180,-39.062,-19.531,19.043,0.000
1731646380.911,-29.785,-51.270,-28.320,29.297,0.000
1731646380.915,-43.945,-72.754,-31.250,-8.789,0.000
1731646380.919,-40.527,-51.270,-28.809,4.395,0.000
1731646380.923,-50.293,-29.297,-34.180,10.254,0.000
1731646380.927,-67.871,-50.781,-52.246,-19.531,0.000
1731646380.931,-56.641,-58.105,-36.133,-13.184,0.000
1731646380.935,-31.738,-58.105,-9.277,1.953,0.000
1731646380.939,-21.484,-64.453,-18.555,4.883,0.000
1731646380.943,-39.062,-51.758,-26.367,5.859,0.000
1731646380.947,-49.805,-25.391,-23.926,12.207,0.000
1731646380.950,-38.574,-15.137,-37.109,26.367,0.000
1731646380.954,-40.527,-28.809,-42.969,17.090,0.000
1731646380.958,-57.129,-42.969,-33.691,-26.855,0.000
1731646380.962,-49.316,-42.480,-25.879,-31.250,0.000
1731646380.966,-42.480,-50.293,-35.645,-18.066,0.000
1731646380.970,-49.805,-51.270,-44.434,10.254,0.000
1731646380.974,-13.672,-50.293,-37.109,26.367,0.000
1731646380.978,-7.812,-55.664,-24.414,12.207,0.000
1731646380.982,-60.059,-51.270,-20.996,-5.859,0.000
1731646380.986,-46.875,-39.551,-12.207,-4.395,0.000
1731646380.989,-33.691,-26.367,-13.184,-31.250,0.000
1731646380.993,-43.945,-20.508,-14.648,-30.273,0.000
1731646380.997,-42.969,-21.484,-9.766,-26.367,0.000
1731646381.001,-51.270,-24.902,-14.648,-45.898,0.000
1731646381.005,-40.527,-39.062,-15.137,-27.832,0.000
1731646381.009,-12.695,-42.480,-15.137,-7.324,0.000
1731646381.013,17.578,-25.391,-20.508,37.109,0.000
1731646381.017,-20.020,-38.574,-27.832,20.020,0.000
1731646381.021,-69.824,-48.340,-27.344,-30.273,0.000
1731646381.025,-61.035,-40.039,-24.414,-6.836,0.000
1731646381.029,-49.805,-43.945,-26.367,0.000,0.000
1731646381.032,-71.289,-38.086,-31.738,-22.949,0.000
1731646381.036,-78.613,-40.039,-33.691,-23.926,0.000
1731646381.040,-64.941,-45.410,-39.062,-28.809,0.000
1731646381.044,-68.848,-48.828,-35.156,-31.738,0.000
1731646381.048,-46.387,-62.500,-23.926,-30.762,0.000
1731646381.052,-58.105,-57.617,-33.691,-39.062,0.000
1731646381.056,-82.031,-45.898,-41.504,-32.227,0.000
1731646381.060,-72.266,-37.109,-34.668,-32.715,0.000
1731646381.064,-79.590,-34.180,-30.273,-46.875,0.000
1731646381.068,-94.727,-48.828,-33.691,-59.082,0.000
1731646381.071,-91.309,-58.105,-28.320,-74.707,0.000
1731646381.075,-76.172,-41.504,-30.273,-81.055,0.000
1731646381.079,-82.520,-33.203,-27.344,-66.895,0.000
1731646381.083,-86.914,-41.504,-29.297,-53.223,0.000
1731646381.087,-85.449,-35.645,-30.273,-48.340,0.000
1731646381.091,-101.074,-62.500,-29.785,-68.359,0.000
1731646381.095,-85.938,-56.152,-22.461,-73.730,0.000
1731646381.099,-72.754,-21.973,-16.602,-64.941,0.000
1731646381.103,-85.938,-38.086,-31.738,-50.781,0.000
1731646381.107,-82.520,-36.133,-41.016,-16.113,0.000
1731646381.111,-85.938,-24.414,-38.574,-54.199,0.000
1731646381.114,-82.031,-25.391,-24.902,-89.844,0.000
1731646381.118,-64.453,-28.320,-30.762,-71.289,0.000
1731646381.122,-71.289,-43.457,-46.875,-72.754,0.000
1731646381.126,-84.473,-54.199,-34.668,-71.777,0.000
1731646381.130,-76.660,-34.180,-24.414,-60.547,0.000
1731646381.134,-64.941,-23.926,-23.926,-62.012,0.000
1731646381.138,-77.148,-31.250,-31.738,-65.918,0.000
1731646381.142,-92.285,-31.250,-29.297,-57.617,0.000
1731646381.146,-79.102,-29.785,-28.809,-50.781,0.000
1731646381.150,-60.059,-42.969,-34.668,-71.289,0.000
1731646381.154,-59.082,-56.152,-27.344,-66.406,0.000
1731646381.157,-71.777,-56.152,-36.621,-76.660,0.000
1731646381.161,-76.660,-56.641,-39.551,-103.516,0.000
1731646381.165,-85.449,-62.500,-40.039,-96.191,0.000
1731646381.169,-88.379,-72.266,-45.898,-94.727,0.000
1731646381.173,-82.031,-48.340,-29.785,-86.426,0.000
1731646381.177,-91.797,-29.785,-24.414,-82.031,0.000
1731646381.181,-99.121,-33.691,-30.273,-105.469,0.000
1731646381.185,-90.332,-29.297,-38.086,-104.980,0.000
1731646381.189,-70.312,-26.367,-39.062,-75.195,0.000
1731646381.193,-66.895,-32.227,-30.762,-88.867,0.000
1731646381.197,-71.777,-37.109,-38.086,-111.816,0.000
1731646381.200,-80.078,-43.457,-46.875,-102.051,0.000
1731646381.204,-95.215,-46.387,-50.781,-93.262,0.000
1731646381.208,-88.379,-36.621,-44.922,-97.656,0.000
1731646381.212,-76.660,-38.574,-43.945,-81.055,0.000
1731646381.216,-65.918,-34.180,-44.922,-63.965,0.000
1731646381.220,-64.453,-30.273,-30.273,-74.707,0.000
1731646381.224,-69.824,-36.133,-31.738,-80.566,0.000
